6 3 1 # 1:chr1
#Chr	Start	End	HDR:1/2	Case-Ctrl1	Case-Ctrl2	Case-Ctrl3	Ctrl1-Ctrl2	Ctrl1-Ctrl3	Ctrl2-Ctrl3
chr1	1237538	1337334	1	1.000	1.000	1.000	1.000	0.600	1.000
chr1	16342103	17249334	1	1.000	1.000	1.000	0.920	0.708	0.875
chr1	17706297	18023509	1	1.000	1.000	1.000	0.571	0.600	0.783
chr1	22183739	22447746	1	1.000	1.000	1.000	1.000	1.000	0.667
chr1	24413118	24495968	1	1.000	1.000	1.000	1.000	1.000	1.000
chr1	25889539	26378211	1	1.000	1.000	1.000	0.833	0.895	0.500
chr1	1237538	1337334	2	3	2	4	5	5	6
chr1	16342103	17249334	2	20	7	11	25	24	16
chr1	17706297	18023509	2	10	10	18	14	20	23
chr1	22183739	22447746	2	1	1	3	2	4	3
chr1	24413118	24495968	2	1	1	5	2	6	6
chr1	25889539	26378211	2	16	7	7	18	19	8
