Program statdel version 19 Mar 2020
Copyright (C) 2014-2017 Jurg Ott http://lab.rockefeller.edu/ott/

This program is free software: you can redistribute it and/or modify
it under the terms of the GNU General Public License as published by
the Free Software Foundation, either version 3 of the License, or
(at your option) any later version. See the GNU General Public
License for more details at <http://www.gnu.org/licenses/>.

Statdel: Pt369 with known pathogenic deletions
P-values include observed data.
Variant-specific (primary) statistic (ONE-SIDED):
 t statistic, unequal variances (code = -12)
Threshold for min. median HDR = 0.5000. 10 Dec 2020 10:09:28h

=== Datafile 1, /var/folders/12/f5vg17pn5c76pg7wccd147kw0000gp/T/bPt131J0zQ ===
Number of candidate/valid ROHs = 118/88. Number of pairs: 36 case-ctrl (Gr.1), 630 others (Gr.2), 666 total
Of 118 ROHs, 30 have avg#variants < 3.0. Total of 0 missing pairs found

EXPLANATIONS TO TABLE BELOW
"n" indicates the number of heterozygous variants flanking an ROH, and
 number of input files holding HDR values
TestStat=-9.0 indicates no valid test statistic available
"Line" indicates the line number of the given ROH in the n-th input file
mH=low means that the median HDR of case-control pairs is less than
 stated threshold, mH=ok otherwise.
Known deletion: chrom=17 start=14,005,439 end=15,217,437

      Mean HDR
Group_1	Group_2	n1	n2	Teststat	n	p	chr	start_bp	end_bp	mH	rank	Line
1.0000	0.7739	36	630	42.6278	1	0.0270	chr17	14005439	15343524	ok	1	82	*
1.0000	0.7870	36	630	34.4276	1	0.0270	chr8	80965039	82586777	ok	2	45
1.0000	0.8458	36	630	32.4857	1	0.0270	chr7	93540348	94898811	ok	3	40
1.0000	0.8096	36	630	32.2643	1	0.0270	chr6	49456545	50740745	ok	4	35
1.0000	0.8376	36	630	28.6735	1	0.0270	chr8	82627395	85799827	ok	5	46
1.0000	0.8563	36	630	28.1670	1	0.0270	chr8	71486568	72935008	ok	6	44
1.0000	0.8471	36	630	27.8329	1	0.0270	chr14	71500626	72939495	ok	7	76
1.0000	0.8129	36	630	27.1514	1	0.0270	chr4	149358014	151271452	ok	8	25
1.0000	0.8446	36	630	26.7171	1	0.0270	chr8	92352887	94658794	ok	9	47
1.0000	0.8457	36	630	26.4482	1	0.0270	chr13	40298638	41567248	ok	10	68
1.0000	0.8448	36	630	26.0202	1	0.0270	chr4	116965172	119273712	ok	11	23
1.0000	0.7446	36	630	25.6379	1	0.0270	chr6	76782049	79918309	ok	12	36
1.0000	0.8275	36	630	25.3652	1	0.0270	chr15	93588336	94858647	ok	13	79
1.0000	0.8758	36	630	22.9816	1	0.0270	chr1	71419499	74575182	ok	14	1
1.0000	0.8786	36	630	22.0876	1	0.0270	chr13	19969463	21006475	ok	15	67
1.0000	0.8963	36	630	21.3620	1	0.0270	chr5	80419349	81574371	ok	16	31
1.0000	0.8195	36	630	21.0502	1	0.0270	chr3	136196071	137882752	ok	17	21
1.0000	0.8865	36	630	19.8703	1	0.0270	chr7	73801019	75145623	ok	18	39
1.0000	0.8869	36	630	15.5692	1	0.0270	chr15	60789798	62259637	ok	19	78
0.9791	0.8532	36	630	14.7555	1	0.0541	chr2	184125573	188250301	ok	20	14
1.0000	0.9215	36	630	14.5115	1	0.0270	chrX	41043944	49087487	ok	21	102
0.9473	0.8296	36	630	9.2157	1	0.0541	chr2	222433720	223806189	ok	22	17
0.9722	0.7708	36	630	6.8362	1	0.2568	chr14	43769894	44975606	ok	23	74
0.9722	0.7979	36	630	6.0669	1	0.1892	chr10	38406094	42965636	ok	24	54
0.9722	0.8200	36	630	5.2632	1	0.1892	chr3	109019435	110792906	ok	25	20
0.9722	0.8356	36	630	4.8020	1	0.2027	chr10	64415184	65749908	ok	26	55
0.9722	0.8394	36	630	4.6961	1	0.1622	chr7	135412273	136939582	ok	27	42
0.9722	0.8392	36	630	4.6769	1	0.1486	chr7	8125964	9703568	ok	28	37
0.9722	0.8390	36	630	4.6589	1	0.0811	chr2	217541582	218694962	ok	29	16
0.9722	0.8506	36	630	4.2821	1	0.0811	chr2	116066984	118854094	ok	30	9
0.9722	0.8500	36	630	4.2694	1	0.1622	chr10	106602362	108427682	ok	31	57
0.9722	0.8535	36	630	4.1860	1	0.1892	chr18	53146303	54605698	ok	32	91
0.9722	0.8540	36	630	4.1609	1	0.1351	chr2	133881219	135160755	ok	33	10
0.9722	0.8524	36	630	4.1197	1	0.1757	chr6	39967503	41052002	ok	34	34
0.9722	0.8544	36	630	4.0741	1	0.0946	chr17	31355227	32583132	ok	35	84
0.9722	0.8563	36	630	4.0689	1	0.2162	chr18	65178103	67345034	ok	36	92
0.9722	0.8731	36	630	3.4828	1	0.2162	chr9	38453263	43400929	ok	37	50
0.9444	0.8107	36	630	3.3685	1	0.1622	chr2	150167395	151328284	ok	38	11
0.9722	0.8769	36	630	3.3544	1	0.0946	chr5	50056435	51307170	ok	39	30
0.9444	0.8153	36	630	3.2143	1	0.2973	chr2	65604914	66798282	ok	40	5
0.9444	0.8259	36	630	2.9579	1	0.2162	chr11	24913489	26067594	ok	41	59
0.9444	0.8328	36	630	2.8156	1	0.1622	chr11	108722851	110034941	ok	42	62
0.9444	0.8454	36	630	2.5056	1	0.1351	chr18	48575929	49867224	ok	43	90
0.9444	0.8491	36	630	2.4113	1	0.3514	chr7	124001151	125753636	ok	44	41
0.9444	0.8598	36	630	2.1475	1	0.2568	chr10	108716473	111648006	ok	45	58
0.9167	0.8200	36	630	2.0345	1	0.2568	chr13	67188853	69549052	ok	46	69
0.9444	0.8650	36	630	2.0194	1	0.4054	chr12	86406531	89743223	ok	47	66
0.9444	0.8831	36	630	1.5620	1	0.2162	chr16	60058690	64327067	ok	48	81
0.8611	0.7893	36	630	1.2073	1	0.3378	chr8	30948072	32435988	ok	49	43
0.9444	0.8985	36	630	1.1609	1	0.4324	chr11	126873721	128443099	ok	50	63
0.8333	0.7702	36	630	0.9740	1	0.5270	chrX	135377942	138825675	ok	51	111
0.8889	0.8382	36	630	0.9398	1	0.3378	chr10	77454739	78729669	ok	52	56
0.9722	0.9491	36	630	0.8235	1	0.2432	chrX	51486659	71416721	ok	53	104
0.8333	0.7806	36	630	0.8208	1	0.4865	chr17	22252194	25410253	ok	54	83
0.9167	0.8799	36	630	0.7798	1	0.3919	chr12	77449790	78569059	ok	55	64
0.9444	0.9174	36	630	0.6903	1	0.3784	chrX	71495582	100245606	ok	56	105
0.8611	0.8302	36	630	0.5209	1	0.3919	chr12	78594405	79747487	ok	57	65
0.8611	0.8307	36	630	0.5143	1	0.4189	chr18	40613548	41688548	ok	58	89
0.8889	0.8662	36	630	0.4222	1	0.4189	chr5	44809162	49962737	ok	59	29
0.9167	0.8991	36	630	0.3699	1	0.5405	chr1	97981242	99150635	ok	60	2
0.9444	0.9332	36	630	0.2889	1	0.4595	chrX	102831217	117904121	ok	61	107
0.9167	0.9046	36	630	0.2555	1	0.5541	chrX	18671796	24665381	ok	62	100
0.9167	0.9053	36	630	0.2398	1	0.5270	chr3	105495432	107646728	ok	63	19
0.8056	0.7958	36	630	0.1436	1	0.2973	chr10	1779498	2797555	ok	64	53
0.8333	0.8268	36	630	0.1017	1	0.5405	chr14	86088056	88417289	ok	65	77
0.8072	0.8058	36	630	0.0273	1	0.5676	chr13	106119446	107145463	ok	66	71
0.8333	0.8383	36	630	-0.0776	1	0.3784	chr18	25565082	27490801	ok	67	86
0.8889	0.9060	36	630	-0.3195	1	0.5135	chr18	22318099	23875336	ok	68	85
0.7778	0.8263	36	630	-0.6805	1	0.5946	chr2	103431404	105295074	ok	69	8
0.8333	0.8797	36	630	-0.7273	1	0.8108	chr18	31263320	32373873	ok	70	87
0.8333	0.8797	36	630	-0.7280	1	0.5541	chr2	77039924	79252950	ok	71	6
0.8107	0.8698	36	630	-0.9246	1	0.7297	chrX	15332558	18597869	ok	72	99
0.8611	0.9325	36	630	-1.2134	1	0.8108	chrX	24751958	38515168	ok	73	101
0.6667	0.7686	36	630	-1.2580	1	0.8378	chr1	104469180	106434008	ok	74	3
0.8611	0.9361	36	630	-1.2714	1	0.9595	chr2	83446208	84897517	ok	75	7
0.8611	0.9366	36	630	-1.2833	1	0.9730	chrX	118699320	128880614	ok	76	108
0.7778	0.8827	36	630	-1.4784	1	0.9324	chrX	2843818	7066051	ok	77	96
0.7222	0.8428	36	630	-1.5750	1	0.9054	chr9	27610657	29514440	ok	78	49
0.7778	0.9082	36	630	-1.8402	1	0.8649	chrX	100547933	102564583	ok	79	106
0.8056	0.9339	36	630	-1.9060	1	0.9595	chrX	151283336	155215152	ok	80	115
0.6667	0.8571	36	630	-2.3580	1	0.8378	chrX	49093528	50831821	ok	81	103
0.5556	0.7574	36	630	-2.3633	1	0.7838	chrX	138897130	140983127	ok	82	112
0.6944	0.8840	36	630	-2.4090	1	0.8514	chrX	140993989	148628490	ok	83	113
0.6667	0.8649	36	630	-2.4592	1	0.7027	chrX	9791204	14599572	ok	84	98
0.6389	0.8439	36	630	-2.4933	1	0.9865	chrX	8475734	9791017	ok	85	97
0.5833	0.8069	36	630	-2.6409	1	0.9730	chrX	133379551	135106652	ok	86	110
0.5556	0.7832	36	630	-2.6655	1	0.7838	chrX	128889464	132350904	ok	87	109
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr2	35444392	36605585	ok	-9	4
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr2	153733922	154800999	ok	-9	12
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr2	180837806	181927310	ok	-9	13
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr2	199046834	200173684	low	-9	15
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr3	79582483	80920963	low	-9	18
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr4	60242528	62065751	ok	-9	22
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr4	135121066	137558887	low	-9	24
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr4	158065038	159092633	ok	-9	26
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr4	160387484	162288370	low	-9	27
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr4	168040294	169049435	ok	-9	28
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr5	105907991	107006446	ok	-9	32
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr5	115898595	117403310	low	-9	33
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr7	40900340	42064852	ok	-9	38
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr9	9090876	11039445	ok	-9	48
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr9	76171328	77245162	ok	-9	51
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr9	82972980	84207898	ok	-9	52
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr11	36669778	38469977	ok	-9	60
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr11	41155033	42924905	ok	-9	61
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr13	81893862	83398088	low	-9	70
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr14	25899917	26939474	ok	-9	72
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr14	42355771	43744278	ok	-9	73
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr14	48271354	49572227	low	-9	75
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr16	34681938	46385938	low	-9	80
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr18	35065374	36524880	low	-9	88
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr18	67817744	68893756	low	-9	93
-9.0000	-9.0000	-9	-9	-9.0000	1	-9.0000	chr19	24310413	28388149	ok	-9	94
